id,dimension,question,a_text,b_text,a_type,b_type
30,SN,"เวลาอ่านเรื่องยาว คุณจับอะไรได้ก่อน","ข้อมูลและลำดับเหตุการณ์","ธีมหรือสาระสำคัญ",S,N
31,SN,"คุณไว้ใจวิธีไหนมากกว่า","วิธีที่เคยพิสูจน์แล้ว","วิธีใหม่ที่มีโอกาสดีกว่า",S,N
32,SN,"ถ้างานคลุมเครือ คุณอยากได้อะไร","รายละเอียดและขอบเขตชัดเจน","อิสระในการตีความ",S,N
33,SN,"คุณอธิบายเรื่องยากด้วยวิธีไหน","ยกตัวอย่างที่จับต้องได้","เปรียบเทียบเป็นแนวคิด",S,N
34,SN,"คุณมักสังเกตอะไรเร็วกว่า","รายละเอียดเล็ก ๆ","แพตเทิร์นโดยรวม",S,N
35,SN,"ถ้าข้อมูลยังไม่ครบ คุณมักทำอย่างไร","หาข้อมูลเพิ่มก่อน","ตั้งสมมติฐานก่อน",S,N
36,SN,"คุณชอบคำถามแบบไหน","ถามว่าเกิดอะไรขึ้น","ถามว่าหมายความว่าอะไร",S,N
37,SN,"เวลาทำงาน คุณเน้นอะไร","ความถูกต้องของรายละเอียด","ทิศทางและความเชื่อมโยง",S,N
38,SN,"ไอเดียแบบไหนทำให้คุณมั่นใจกว่า","มีหลักฐานรองรับ","มีวิสัยทัศน์น่าสนใจ",S,N
39,SN,"คุณมองปัญหาซ้ำ ๆ อย่างไร","เป็นเรื่องเฉพาะที่ต้องแก้","เป็นสัญญาณของระบบที่ควรปรับ",S,N
40,SN,"เวลารับข้อมูลใหม่ คุณมักจัดการอย่างไร","แยกข้อเท็จจริงให้ชัด","เชื่อมโยงกับภาพใหญ่",S,N
41,TF,"เมื่อต้องตัดสินใจ คุณให้น้ำหนักอะไรมากกว่า","เหตุผลและผลลัพธ์","ความรู้สึกและผลกระทบต่อคน",T,F
42,TF,"เมื่อให้คำแนะนำ คุณมักเริ่มจากอะไร","วิเคราะห์ทางแก้","รับฟังความรู้สึก",T,F
43,TF,"ถ้างานมีปัญหา คุณพูดแบบไหน","ตรงไปตรงมาว่าต้องแก้อะไร","เลือกคำพูดให้ถนอมน้ำใจ",T,F
44,TF,"คุณให้คุณค่ากับอะไรในทีม","ความยุติธรรมและมาตรฐาน","ความเข้าใจและความสัมพันธ์",T,F
45,TF,"เมื่อมีข้อขัดแย้ง คุณมักโฟกัสอะไร","ข้อเท็จจริงของเรื่อง","ความรู้สึกของแต่ละฝ่าย",T,F
46,TF,"คุณประเมินผลงานจากอะไร","คุณภาพและผลลัพธ์","ความพยายามและบริบท",T,F
47,TF,"ถ้าต้องเลือกทางที่ยาก คุณดูอะไรก่อน","ทางไหนสมเหตุสมผลกว่า","ทางไหนกระทบคนน้อยกว่า",T,F
48,TF,"เวลาคนทำผิด คุณมักคิดอะไร","จะป้องกันซ้ำอย่างไร","เขารู้สึกอย่างไร",T,F
49,TF,"คุณชอบ feedback แบบไหน","ชัด ตรง และแก้ได้ทันที","นุ่มนวลและให้กำลังใจ",T,F
50,TF,"เมื่อต้องปฏิเสธ คุณมักทำอย่างไร","ปฏิเสธชัดเจนตามเหตุผล","อธิบายอย่างระวังความรู้สึก",T,F
51,TF,"เวลาคิดเรื่องเงินหรืองาน คุณมักดูอะไร","ความคุ้มค่าและความเสี่ยง","ความสบายใจและคนที่เกี่ยวข้อง",T,F
52,TF,"คุณรู้สึกว่าสิ่งใดสำคัญกว่า","การตัดสินใจที่เป็นกลาง","การตัดสินใจที่มีมนุษยธรรม",T,F
53,TF,"เมื่อเพื่อนมาระบาย คุณมักทำอะไร","ช่วยหาวิธีแก้ปัญหา","อยู่ข้าง ๆ และรับฟัง",T,F
54,TF,"ถ้าความจริงทำให้คนไม่สบายใจ คุณจะเลือกอะไร","พูดความจริงให้ชัด","เลือกจังหวะและวิธีพูด",T,F
55,TF,"คุณมักถูกมองว่าเป็นแบบไหน","มีเหตุผลและตรงประเด็น","เข้าใจคนและเอาใจใส่",T,F
56,TF,"ในการประชุม คุณมักสนใจอะไร","ข้อสรุปและการตัดสินใจ","บรรยากาศและการมีส่วนร่วม",T,F
57,TF,"คุณจัดลำดับความสำคัญจากอะไร","เป้าหมายและประสิทธิภาพ","คุณค่าและความสัมพันธ์",T,F
58,TF,"เมื่อเห็นคนลำบาก คุณมักทำอะไรก่อน","คิดหาทางช่วยที่ได้ผล","แสดงความห่วงใยก่อน",T,F
59,TF,"ถ้ากฎกับความรู้สึกขัดกัน คุณเอนไปทางไหน","ยึดหลักและกฎก่อน","ดูสถานการณ์ของคนก่อน",T,F
60,TF,"คุณเชื่อว่าการสื่อสารที่ดีควรเป็นแบบไหน","ชัดเจนและตรงประเด็น","สุภาพและคำนึงถึงใจคน",T,F
61,JP,"เมื่อมีงานหลายอย่าง คุณเริ่มจากอะไร","จัดลำดับและทำตามแผน","เลือกทำตามจังหวะที่เหมาะ",J,P
62,JP,"ก่อนเดินทาง คุณมักทำอะไร","วางแผนและจองล่วงหน้า","เตรียมหลัก ๆ แล้วค่อยตัดสินใจ",J,P
63,JP,"เมื่อมี deadline คุณมักทำอย่างไร","เริ่มเร็วเพื่อให้เสร็จก่อน","ทำเมื่อใกล้ถึงเวลาและมีแรงกดดัน",J,P
64,JP,"คุณรู้สึกดีเมื่อสิ่งต่าง ๆ เป็นแบบไหน","มีข้อสรุปชัดเจน","ยังเปิดทางเลือกไว้",J,P
65,JP,"ถ้าแผนเปลี่ยนกะทันหัน คุณมักรู้สึกอย่างไร","ต้องใช้เวลาปรับ","ปรับตัวได้ค่อนข้างเร็ว",J,P
66,JP,"คุณชอบทำงานแบบไหน","มี checklist และขั้นตอน","ยืดหยุ่นตามสถานการณ์",J,P
67,JP,"พื้นที่ทำงานของคุณมักเป็นแบบไหน","เป็นระเบียบและหาอะไรง่าย","เปลี่ยนตามงานที่ทำ",J,P
68,JP,"เวลาต้องเลือกซื้อของ คุณมักทำอะไร","เปรียบเทียบแล้วตัดสินใจ","ดูตัวเลือกไปเรื่อย ๆ ก่อน",J,P
69,JP,"วันว่างที่คุณชอบคือแบบไหน","มีแผนคร่าว ๆ","ปล่อยให้เป็นไปตามอารมณ์",J,P
70,JP,"เมื่อเริ่มโปรเจกต์ คุณต้องการอะไร","เป้าหมายและแผนงานชัด","พื้นที่ให้ทดลองและปรับ",J,P
71,JP,"คุณจัดการงานค้างอย่างไร","รีบปิดให้จบ","เก็บไว้จนกว่าจะพร้อมทำ",J,P
72,JP,"คุณสบายใจกับสถานการณ์แบบไหน","รู้ขั้นตอนถัดไป","เลือกทางได้หลายแบบ",J,P
73,JP,"เมื่อข้อมูลใหม่เข้ามา คุณมักทำอย่างไร","ปรับแผนอย่างเป็นระบบ","เปลี่ยนทางได้ทันทีถ้าน่าสนใจ",J,P
74,JP,"คุณชอบคำสั่งงานแบบไหน","ชัดเจนว่าต้องส่งอะไร","บอกเป้าหมายแล้วให้คิดวิธีเอง",J,P
75,JP,"เวลาเริ่มวันใหม่ คุณมักทำอะไร","วางรายการสิ่งที่ต้องทำ","ดูว่าวันนั้นเหมาะกับอะไร",J,P
76,JP,"คุณมักตัดสินใจเมื่อใด","เมื่อข้อมูลพอและต้องปิดเรื่อง","รอจนใกล้เวลาหรือเห็นตัวเลือกเพิ่ม",J,P
77,JP,"ถ้าต้องทำงานยาว คุณชอบแบบไหน","แบ่งเป็นช่วงและติดตามความคืบหน้า","ทำเป็นรอบ ๆ ตามแรงและไอเดีย",J,P
78,JP,"เมื่อสิ่งของไม่เป็นระเบียบ คุณรู้สึกอย่างไร","อยากจัดให้เข้าที่","ไม่เป็นไรถ้ายังใช้งานได้",J,P
79,JP,"คุณรับมือกับความไม่แน่นอนแบบไหน","พยายามลดความไม่แน่นอน","อยู่กับความไม่แน่นอนได้",J,P
80,JP,"งานแบบไหนเหมาะกับคุณกว่า","งานที่มีกรอบและกำหนดส่งชัด","งานที่เปิดให้ปรับเปลี่ยนได้",J,P
